Component;accepted;assigned;new;reopened;reviewing
Administration;2;22;128;4;6
Autosave;0;0;7;0;0
Bootstrap/Load;0;1;19;1;2
Build/Test Tools;4;8;51;4;2
Bundled Theme;1;7;54;3;2
Cache API;0;1;8;1;0
Canonical;1;2;11;0;1
Charset;0;0;0;1;0
Comments;4;10;49;2;4
Cron API;0;0;3;4;1
Customize;1;10;39;0;0
Database;0;1;34;1;0
Date/Time;0;2;7;0;5
Editor;2;5;77;3;1
Embeds;0;2;16;1;1
Export;0;1;10;0;0
External Libraries;0;2;15;2;1
Feeds;0;2;6;2;1
Filesystem API;0;1;16;0;0
Formatting;0;2;33;0;1
Gallery;1;0;1;0;0
General;1;20;169;11;4
Help/About;0;0;5;0;0
HTTP API;0;0;14;0;1
I18N;0;6;31;0;0
Import;2;2;19;1;1
Login and Registration;0;7;33;1;3
Mail;0;2;8;1;2
Media;2;18;126;13;7
Menus;6;6;39;0;5
Networks and Sites;1;4;33;4;5
Options, Meta APIs;1;2;30;3;2
Permalinks;0;0;22;0;1
Pings/Trackbacks;0;1;10;0;1
Plugins;2;1;59;6;2
Post Formats;0;1;5;0;0
Post Thumbnails;0;0;4;0;0
Posts, Post Types;2;6;94;7;5
Privacy;1;6;23;1;0
Query;3;1;51;4;5
Quick/Bulk Edit;1;2;9;2;0
REST API;1;7;34;1;0
Revisions;0;5;12;0;1
Rewrite Rules;0;3;18;3;4
Role/Capability;1;1;23;1;1
Script Loader;1;1;25;1;1
Security;1;1;17;2;0
Shortcodes;0;2;10;0;0
Site Health;0;4;7;0;0
Taxonomy;1;2;56;2;5
Text Changes;1;0;18;0;2
Themes;3;4;57;6;4
TinyMCE;0;0;9;0;0
Toolbar;0;2;14;2;2
Upgrade/Install;3;7;62;3;3
Upload;0;0;11;3;0
Users;2;7;71;3;8
Widgets;1;3;28;5;1
WordPress.org site;0;1;1;1;0
XML-RPC;0;1;3;0;1
